"Prebivalci Slovenije po udeleženosti na turistiènih potovanjih (v 1000)"
"po: STAROST, MERITVE , ÈETRTLETJE"

"Starost - SKUPAJ"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2016Q2";53M
" ";" ";"2016Q3";156
" ";" ";"2016Q4";54
"25-44"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";206
" ";" ";"2006Q2";215
" ";" ";"2006Q3";415
" ";" ";"2006Q4";149
" ";" ";"2007Q1";163
" ";" ";"2007Q2";197
" ";" ";"2007Q3";374
" ";" ";"2007Q4";173
" ";" ";"2008Q1";162
" ";" ";"2008Q2";218
" ";" ";"2008Q3";349
" ";" ";"2008Q4";173
" ";" ";"2009Q1";184
" ";" ";"2009Q2";220
" ";" ";"2009Q3";359
" ";" ";"2009Q4";168
" ";" ";"2010Q1";175
" ";" ";"2010Q2";233
" ";" ";"2010Q3";425
" ";" ";"2010Q4";152
" ";" ";"2011Q1";179
" ";" ";"2011Q2";220
" ";" ";"2011Q3";430
" ";" ";"2011Q4";174
" ";" ";"2012Q1";140
" ";" ";"2012Q2";244
" ";" ";"2012Q3";398
" ";" ";"2012Q4";172
" ";" ";"2013Q1";156
" ";" ";"2013Q2";206
" ";" ";"2013Q3";423
" ";" ";"2013Q4";171
" ";" ";"2014Q1";171
" ";" ";"2014Q2";222
" ";" ";"2014Q3";368
" ";" ";"2014Q4";185
" ";" ";"2015Q1";166
" ";" ";"2015Q2";249
" ";" ";"2015Q3";397
" ";" ";"2015Q4";165
" ";" ";"2016Q1";158
" ";" ";"2016Q2";244
" ";" ";"2016Q3";427
" ";" ";"2016Q4";198
" ";"Šli na zasebno potovanje"
" ";" ";"2006Q1";177
" ";" ";"2006Q2";184
" ";" ";"2006Q3";399
" ";" ";"2006Q4";117
" ";" ";"2007Q1";141
" ";" ";"2007Q2";174
" ";" ";"2007Q3";373
" ";" ";"2007Q4";129
" ";" ";"2008Q1";133
" ";" ";"2008Q2";174
" ";" ";"2008Q3";341
" ";" ";"2008Q4";138
" ";" ";"2009Q1";156
" ";" ";"2009Q2";187
" ";" ";"2009Q3";356
" ";" ";"2009Q4";137
" ";" ";"2010Q1";146
" ";" ";"2010Q2";209
" ";" ";"2010Q3";414
" ";" ";"2010Q4";122
" ";" ";"2011Q1";152
" ";" ";"2011Q2";179
" ";" ";"2011Q3";425
" ";" ";"2011Q4";143
" ";" ";"2012Q1";120
" ";" ";"2012Q2";215
" ";" ";"2012Q3";395
" ";" ";"2012Q4";138
" ";" ";"2013Q1";145
" ";" ";"2013Q2";189
" ";" ";"2013Q3";420
" ";" ";"2013Q4";140
" ";" ";"2014Q1";137
" ";" ";"2014Q2";198
" ";" ";"2014Q3";360
" ";" ";"2014Q4";141
" ";" ";"2015Q1";130
" ";" ";"2015Q2";221
" ";" ";"2015Q3";385
" ";" ";"2015Q4";139
" ";" ";"2016Q1";142
" ";" ";"2016Q2";205
" ";" ";"2016Q3";420
" ";" ";"2016Q4";172
"45-64"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";142
" ";" ";"2006Q2";200
" ";" ";"2006Q3";300
" ";" ";"2006Q4";130
" ";" ";"2007Q1";146
" ";" ";"2007Q2";121
" ";" ";"2007Q3";296
" ";" ";"2007Q4";127
" ";" ";"2008Q1";129
" ";" ";"2008Q2";182
" ";" ";"2008Q3";310
" ";" ";"2008Q4";143
" ";" ";"2009Q1";142
" ";" ";"2009Q2";162
" ";" ";"2009Q3";302
" ";" ";"2009Q4";134
" ";" ";"2010Q1";152
" ";" ";"2010Q2";196
" ";" ";"2010Q3";317
" ";" ";"2010Q4";137
" ";" ";"2011Q1";120
" ";" ";"2011Q2";180
" ";" ";"2011Q3";327
" ";" ";"2011Q4";138
" ";" ";"2012Q1";113
" ";" ";"2012Q2";182
" ";" ";"2012Q3";286
" ";" ";"2012Q4";153
" ";" ";"2013Q1";119
" ";" ";"2013Q2";177
" ";" ";"2013Q3";282
" ";" ";"2013Q4";143
