"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2006Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","1,833",""
"2006Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro","274",""
"2006Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","65,655",""
"2006Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","18,201",""
"2006Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","30,605",""
"2006Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","22,506",""
"2006Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","8,131",""
"2006Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","3,163",""
"2006Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":",""
"2006Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2006Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","59,474",""
"2006Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,031",""
"2006Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","12,294",""
"2006Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","9,333",""
"2007Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","34,014",""
"2007Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","18,270",""
"2007Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","5,096",""
"2007Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro","193",""
"2007Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","66,968",""
"2007Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,425",""
"2007Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","32,160",""
"2007Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","23,766",""
"2007Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,511",""
"2007Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","2,634",""
"2007Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro","114",""
"2007Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2007Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","59,918",""
"2007Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","29,907",""
"2007Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","8,819",""
"2007Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","2,681",""
"2007Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","29,321",""
"2007Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","15,052",""
"2007Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","1,482",""
"2007Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro","530",""
"2007Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","85,264",""
