"Zasebna potovanja po: ÈETRTLETJE, DESTINACIJA, VRSTA NASTANITVE ,"
"MERITVE"

" ";"Slovenija";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tujina";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" "
" ";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev"
"2010Q2";70M;232M;3.3M;15M;36M;2.4M;100;313;3.1;115;254;2.2;199;396;2.0;N;N;N;160;706;4.4;38M;184M;4.9M;107;467;4.4;184;503;2.7;144;453;3.2;N;N;N
"2010Q3";105;423;4.0;69M;278M;4.0M;145;642;4.4;93;306;3.3;157;537;3.4;13M;15M;1.2M;244;1556;6.4;160;1368;8.5;403;3269;8.1;249;1054;4.2;175;1693;9.7;N;N;N
"2010Q4";87;280;3.2;-;-;-;69;210;3.0;71;161;2.3;113;227;2.0;N;N;N;108;457;4.2;N;N;N;40M;158M;4.0M;25M;73M;3.0M;53;216;4.1;N;N;N
"2011Q1";76;253;3.3;N;N;N;97;332;3.4;108;234;2.2;145;292;2.0;N;N;N;71;357;5.0;N;N;N;55M;282M;5.1M;29M;66M;2.3M;50M;195M;3.9M;N;N;N
"2011Q2";73M;260M;3.6M;12M;39M;3.2M;66M;228M;3.5M;167;316;1.9;119;268;2.3;12M;23M;1.9M;139;590;4.3;37M;176M;4.8M;96;442;4.6;151;477;3.2;106;416;3.9;N;N;N
"2011Q3";110;473;4.3;45M;217M;4.9M;169;586;3.5;181;545;3.0;157;515;3.3;N;N;N;243;1557;6.4;179;1292;7.2;403;3368;8.4;262;1970;7.5;205;1271;6.2;N;N;N
"2011Q4";84;273;3.3;N;N;N;65;195;3.0;66;138;2.1;130;268;2.1;-;-;-;120;430;3.6;N;N;N;59;280;4.7;52;168;3.3;78;367;4.7;N;N;N
"2012Q1";90;279;3.1;N;N;N;58M;186M;3.2M;N;N;N;71M;150M;2.1M;N;N;N;56M;276M;4.9M;-;-;-;54M;376M;6.9M;N;N;N;32M;222M;7.0M;-;-;-
"2012Q2";70M;245M;3.5M;N;N;N;68M;213M;3.1M;156M;360M;2.3M;142M;217M;1.5M;N;N;N;127;530;4.2;69M;273M;4.0M;112;524;4.7;101M;279M;2.8M;113M;364M;3.2M;N;N;N
"2012Q3";105;464;4.4;61M;250M;4.1M;134;521;3.9;180M;454M;2.5M;210;610;2.9;N;N;N;228;1451;6.4;223;1736;7.8;341;2752;8.1;131M;804M;6.1M;222;1371;6.2;N;N;N
