"Prebivalci Slovenije po udeleženosti na turistiènih potovanjih (v 1000)"
"po: MESEÈNI NETO DOHODEK NA ÈLANA GOSPODINJSTVA, MERITVE , ÈETRTLETJE"

"1. kvartil"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2015Q1";44M
" ";" ";"2015Q2";87
" ";" ";"2015Q3";149
" ";" ";"2015Q4";36
" ";" ";"2016Q1";40M
" ";" ";"2016Q2";56M
" ";" ";"2016Q3";144
" ";" ";"2016Q4";40
"3. kvartil"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";111
" ";" ";"2006Q2";117
" ";" ";"2006Q3";202
" ";" ";"2006Q4";81
" ";" ";"2007Q1";81
" ";" ";"2007Q2";80
" ";" ";"2007Q3";175
" ";" ";"2007Q4";73
" ";" ";"2008Q1";87
" ";" ";"2008Q2";113
" ";" ";"2008Q3";170
" ";" ";"2008Q4";78
" ";" ";"2009Q1";72
" ";" ";"2009Q2";122
" ";" ";"2009Q3";205
" ";" ";"2009Q4";98
" ";" ";"2010Q1";81
" ";" ";"2010Q2";144
" ";" ";"2010Q3";211
" ";" ";"2010Q4";80
" ";" ";"2011Q1";90
" ";" ";"2011Q2";133
" ";" ";"2011Q3";199
" ";" ";"2011Q4";80
" ";" ";"2012Q1";56
" ";" ";"2012Q2";118
" ";" ";"2012Q3";181
" ";" ";"2012Q4";70
" ";" ";"2013Q1";68
" ";" ";"2013Q2";104
" ";" ";"2013Q3";181
" ";" ";"2013Q4";65
" ";" ";"2014Q1";72
" ";" ";"2014Q2";83
" ";" ";"2014Q3";151
" ";" ";"2014Q4";88
" ";" ";"2015Q1";73
" ";" ";"2015Q2";123
" ";" ";"2015Q3";170
" ";" ";"2015Q4";76
" ";" ";"2016Q1";68
" ";" ";"2016Q2";116
" ";" ";"2016Q3";193
" ";" ";"2016Q4";82
" ";"Šli na zasebno potovanje"
" ";" ";"2006Q1";101
" ";" ";"2006Q2";108
" ";" ";"2006Q3";202
" ";" ";"2006Q4";71
" ";" ";"2007Q1";68
" ";" ";"2007Q2";64M
" ";" ";"2007Q3";172
" ";" ";"2007Q4";63
" ";" ";"2008Q1";71
" ";" ";"2008Q2";97
" ";" ";"2008Q3";165
" ";" ";"2008Q4";69
" ";" ";"2009Q1";66M
" ";" ";"2009Q2";111
" ";" ";"2009Q3";204
" ";" ";"2009Q4";87
" ";" ";"2010Q1";70
" ";" ";"2010Q2";131
" ";" ";"2010Q3";209
" ";" ";"2010Q4";66
" ";" ";"2011Q1";82
" ";" ";"2011Q2";115
" ";" ";"2011Q3";197
" ";" ";"2011Q4";74
" ";" ";"2012Q1";52
" ";" ";"2012Q2";114
" ";" ";"2012Q3";181
" ";" ";"2012Q4";62
" ";" ";"2013Q1";59
" ";" ";"2013Q2";96
" ";" ";"2013Q3";181
" ";" ";"2013Q4";59
" ";" ";"2014Q1";63
" ";" ";"2014Q2";78
" ";" ";"2014Q3";150
" ";" ";"2014Q4";71
" ";" ";"2015Q1";59M
" ";" ";"2015Q2";108
" ";" ";"2015Q3";169
" ";" ";"2015Q4";69
" ";" ";"2016Q1";64
" ";" ";"2016Q2";106
" ";" ";"2016Q3";192
" ";" ";"2016Q4";74
"4. kvartil"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";170
" ";" ";"2006Q2";182
" ";" ";"2006Q3";269
" ";" ";"2006Q4";138
" ";" ";"2007Q1";116
" ";" ";"2007Q2";147
" ";" ";"2007Q3";236
" ";" ";"2007Q4";140
" ";" ";"2008Q1";137
" ";" ";"2008Q2";174
" ";" ";"2008Q3";221
" ";" ";"2008Q4";163
" ";" ";"2009Q1";156
" ";" ";"2009Q2";175
" ";" ";"2009Q3";253
" ";" ";"2009Q4";141
" ";" ";"2010Q1";154
" ";" ";"2010Q2";192
" ";" ";"2010Q3";251
" ";" ";"2010Q4";138
" ";" ";"2011Q1";138
" ";" ";"2011Q2";202
" ";" ";"2011Q3";239
" ";" ";"2011Q4";132
" ";" ";"2012Q1";93
" ";" ";"2012Q2";170
" ";" ";"2012Q3";222
" ";" ";"2012Q4";130
" ";" ";"2013Q1";101
" ";" ";"2013Q2";147
" ";" ";"2013Q3";215
" ";" ";"2013Q4";115
" ";" ";"2014Q1";117
" ";" ";"2014Q2";148
" ";" ";"2014Q3";218
" ";" ";"2014Q4";119
" ";" ";"2015Q1";137
" ";" ";"2015Q2";166
" ";" ";"2015Q3";215
" ";" ";"2015Q4";109
" ";" ";"2016Q1";123
" ";" ";"2016Q2";151
" ";" ";"2016Q3";196
" ";" ";"2016Q4";130
" ";"Šli na zasebno potovanje"
