"Zasebna potovanja po: DESTINACIJA, VRSTA NASTANITVE, MERITVE ,"
"ÈETRTLETJE"

"Slovenija"
" ";"Hoteli in podobni objekti"
" ";" ";"Prenoèitve (v 1000)"
" ";" ";" ";"2007Q3";3.9M
" ";" ";" ";"2007Q4";N
" ";" ";" ";"2008Q1";N
" ";" ";" ";"2008Q2";2.7M
" ";" ";" ";"2008Q3";4.1M
" ";" ";" ";"2008Q4";N
" ";" ";" ";"2009Q1";N
" ";" ";" ";"2009Q2";N
" ";" ";" ";"2009Q3";3.3
" ";" ";" ";"2009Q4";N
" ";" ";" ";"2010Q1";N
" ";" ";" ";"2010Q2";2.4M
" ";" ";" ";"2010Q3";4.0M
" ";" ";" ";"2010Q4";-
" ";" ";" ";"2011Q1";N
" ";" ";" ";"2011Q2";3.2M
" ";" ";" ";"2011Q3";4.9M
" ";" ";" ";"2011Q4";N
" ";" ";" ";"2012Q1";N
" ";" ";" ";"2012Q2";N
" ";" ";" ";"2012Q3";4.1M
" ";" ";" ";"2012Q4";N
" ";" ";" ";"2013Q1";N
" ";" ";" ";"2013Q2";N
" ";" ";" ";"2013Q3";3.2M
" ";" ";" ";"2013Q4";N
" ";" ";" ";"2014Q1";-
" ";" ";" ";"2014Q2";N
" ";" ";" ";"2014Q3";N
" ";" ";" ";"2014Q4";N
" ";" ";" ";"2015Q1";-
" ";" ";" ";"2015Q2";N
" ";" ";" ";"2015Q3";3.4M
" ";" ";" ";"2015Q4";N
" ";" ";" ";"2016Q1";-
" ";" ";" ";"2016Q2";N
" ";" ";" ";"2016Q3";4.3M
" ";" ";" ";"2016Q4";N
" ";"Druge najete nastanitvene zmogljivosti"
" ";" ";"Prenoèitve (v 1000)"
" ";" ";" ";"2006Q1";383
" ";" ";" ";"2006Q2";291
" ";" ";" ";"2006Q3";834
" ";" ";" ";"2006Q4";254
" ";" ";" ";"2007Q1";294
" ";" ";" ";"2007Q2";266
" ";" ";" ";"2007Q3";791
" ";" ";" ";"2007Q4";172
" ";" ";" ";"2008Q1";251
" ";" ";" ";"2008Q2";206
" ";" ";" ";"2008Q3";725
" ";" ";" ";"2008Q4";220
" ";" ";" ";"2009Q1";214M
" ";" ";" ";"2009Q2";200M
" ";" ";" ";"2009Q3";822
" ";" ";" ";"2009Q4";246
" ";" ";" ";"2010Q1";329
" ";" ";" ";"2010Q2";313
" ";" ";" ";"2010Q3";642
" ";" ";" ";"2010Q4";210
" ";" ";" ";"2011Q1";332
" ";" ";" ";"2011Q2";228M
" ";" ";" ";"2011Q3";586
" ";" ";" ";"2011Q4";195
" ";" ";" ";"2012Q1";186M
" ";" ";" ";"2012Q2";213M
" ";" ";" ";"2012Q3";521
" ";" ";" ";"2012Q4";140
" ";" ";" ";"2013Q1";262M
" ";" ";" ";"2013Q2";119M
" ";" ";" ";"2013Q3";630
" ";" ";" ";"2013Q4";115M
" ";" ";" ";"2014Q1";248M
" ";" ";" ";"2014Q2";196M
" ";" ";" ";"2014Q3";434
" ";" ";" ";"2014Q4";143M
" ";" ";" ";"2015Q1";202M
" ";" ";" ";"2015Q2";284M
" ";" ";" ";"2015Q3";476
" ";" ";" ";"2015Q4";131M
" ";" ";" ";"2016Q1";215M
" ";" ";" ";"2016Q2";183M
" ";" ";" ";"2016Q3";503M
" ";" ";" ";"2016Q4";134M
" ";" ";"Povpreèno število prenoèitev"
" ";" ";" ";"2006Q1";3.4
" ";" ";" ";"2006Q2";3.5
" ";" ";" ";"2006Q3";4.8
" ";" ";" ";"2006Q4";3.3
" ";" ";" ";"2007Q1";3.3
" ";" ";" ";"2007Q2";3.7
" ";" ";" ";"2007Q3";4.6
" ";" ";" ";"2007Q4";3.2
" ";" ";" ";"2008Q1";3.1
" ";" ";" ";"2008Q2";2.7
" ";" ";" ";"2008Q3";5.4
" ";" ";" ";"2008Q4";3.3
" ";" ";" ";"2009Q1";3.4M
" ";" ";" ";"2009Q2";3.1M
" ";" ";" ";"2009Q3";4.3
" ";" ";" ";"2009Q4";3.1
" ";" ";" ";"2010Q1";3.6
" ";" ";" ";"2010Q2";3.1
" ";" ";" ";"2010Q3";4.4
" ";" ";" ";"2010Q4";3.0
" ";" ";" ";"2011Q1";3.4
" ";" ";" ";"2011Q2";3.5M
" ";" ";" ";"2011Q3";3.5
" ";" ";" ";"2011Q4";3.0
" ";" ";" ";"2012Q1";3.2M
" ";" ";" ";"2012Q2";3.1M
" ";" ";" ";"2012Q3";3.9
" ";" ";" ";"2012Q4";2.5
" ";" ";" ";"2013Q1";3.1M
" ";" ";" ";"2013Q2";3.3M
" ";" ";" ";"2013Q3";4.2
" ";" ";" ";"2013Q4";2.8M
" ";" ";" ";"2014Q1";3.1M
" ";" ";" ";"2014Q2";2.9M
" ";" ";" ";"2014Q3";3.8
" ";" ";" ";"2014Q4";3.2M
" ";" ";" ";"2015Q1";3.7M
" ";" ";" ";"2015Q2";3.2M
" ";" ";" ";"2015Q3";3.7
" ";" ";" ";"2015Q4";2.6M
" ";" ";" ";"2016Q1";3.6M
" ";" ";" ";"2016Q2";2.9M
" ";" ";" ";"2016Q3";3.9M
" ";" ";" ";"2016Q4";2.7M
" ";"Lastno poèitniško bivališèe"
" ";" ";"Prenoèitve (v 1000)"
" ";" ";" ";"2006Q1";317
" ";" ";" ";"2006Q2";358
" ";" ";" ";"2006Q3";707
" ";" ";" ";"2006Q4";380
" ";" ";" ";"2007Q1";152
" ";" ";" ";"2007Q2";187
" ";" ";" ";"2007Q3";437
" ";" ";" ";"2007Q4";172
" ";" ";" ";"2008Q1";177
" ";" ";" ";"2008Q2";247
" ";" ";" ";"2008Q3";533
" ";" ";" ";"2008Q4";209
" ";" ";" ";"2009Q1";271
" ";" ";" ";"2009Q2";314
" ";" ";" ";"2009Q3";707
" ";" ";" ";"2009Q4";235
" ";" ";" ";"2010Q1";128
" ";" ";" ";"2010Q2";254
" ";" ";" ";"2010Q3";306
" ";" ";" ";"2010Q4";161
" ";" ";" ";"2011Q1";234
" ";" ";" ";"2011Q2";316
" ";" ";" ";"2011Q3";545
" ";" ";" ";"2011Q4";138
" ";" ";" ";"2012Q1";N
" ";" ";" ";"2012Q2";360M
" ";" ";" ";"2012Q3";454M
" ";" ";" ";"2012Q4";378M
" ";" ";" ";"2013Q1";N
" ";" ";" ";"2013Q2";230M
" ";" ";" ";"2013Q3";473M
" ";" ";" ";"2013Q4";211M
" ";" ";" ";"2014Q1";206M
" ";" ";" ";"2014Q2";215M
" ";" ";" ";"2014Q3";395M
" ";" ";" ";"2014Q4";214M
" ";" ";" ";"2015Q1";N
" ";" ";" ";"2015Q2";N
" ";" ";" ";"2015Q3";N
" ";" ";" ";"2015Q4";N
" ";" ";" ";"2016Q1";N
" ";" ";" ";"2016Q2";N
" ";" ";" ";"2016Q3";417M
" ";" ";" ";"2016Q4";182M
" ";" ";"Povpreèno število prenoèitev"
" ";" ";" ";"2006Q1";2.3
" ";" ";" ";"2006Q2";2.0
" ";" ";" ";"2006Q3";2.9
" ";" ";" ";"2006Q4";2.3
" ";" ";" ";"2007Q1";2.0
" ";" ";" ";"2007Q2";2.5
" ";" ";" ";"2007Q3";2.9
" ";" ";" ";"2007Q4";2.1
" ";" ";" ";"2008Q1";1.9
" ";" ";" ";"2008Q2";2.2
" ";" ";" ";"2008Q3";3.3
" ";" ";" ";"2008Q4";2.2
" ";" ";" ";"2009Q1";2.5
" ";" ";" ";"2009Q2";2.0
" ";" ";" ";"2009Q3";3.9
" ";" ";" ";"2009Q4";2.2
" ";" ";" ";"2010Q1";1.6
" ";" ";" ";"2010Q2";2.2
" ";" ";" ";"2010Q3";3.3
